community,population,latitude,longitude
MUHAISANAH 2 ,196316,25.2805548,55.4105021
WARSAN 1,106072,25.1603813,55.4252846
HOR AL ANZ,83187,25.277041699999998,55.33729994920512
JEBEL ALI,75287,25.0287816,55.1238225
AL KARAMA,75066,25.244402800000003,55.30475541735386
DUBAI INVESTMENT PARK 1,69956,25.0108734,55.165855
AL MURAQABAT,69771,25.2651045,55.3297213
MIRDIF,64355,25.22133505,55.42349901153393
AL NAHDA 2,61936,25.290591650000003,55.376730904345735
MARSA DUBAI,61047,25.0877537,55.14617209862042
DUBAI INVESTMENT PARK 2,60630,25.0108734,55.165855
AL BADA'A,56734,25.224106550000002,55.26834370791802
BUR DUBAI,51012,25.2468237,55.26822
NAIF,50090,25.2727748,55.31135107385073
AL RAFFA,47140,25.25610145,55.28992291565342
AL MUTEENA,46185,25.2738924,55.32262973029905
AL QUSAIS 1,45657,25.27788125,55.37262098354775
EMIRATES HILLS 1,40586,25.06914525,55.17340373902938
AL QUOZ 3,40553,25.1690701,55.253398
AL MANKHOOL,40091,25.25082665,55.29561953869013
AL BARSHAA 1,39451,25.1110306,55.1910537
AL SATWA,38991,25.2211606,55.273835964673864
AL MURAR,38970,25.27667725,55.30976273508145
DUBAI SILICON OASIS,38494,25.1221942,55.385432961279726
AL RASHIDIYA,37167,25.224953149999997,55.39050657119131
AL HAMRIYA,36738,25.2607739,55.3049962
MUHAISNAH 4,34947,25.2791857,55.40980700151256
AL NAHDA 1,31449,25.288351050000003,55.36313774224007
EMIRATES HILLS 3,27728,25.06914525,55.17340373902938
AL BARSHA SOUTH 4,25974,25.1117235,55.2064271
TECOM,24834,25.0982842,55.1757823
AL BARAHA,24747,25.281368,55.319412717201146
AL WARQAA 1,24679,25.19024685,55.40294052988551
JEBEL ALI NORTH FREE ZONE,24487,24.9861137,55.081810605685035
NAKHLAT JUMEIRA ,24448,25.1207533,55.1298377
AL JAFLIYA,23963,25.2165475,55.264507
AL QUOZ 4,22718,25.1690701,55.253398
EMIRATES HILLS 2,21442,25.06914525,55.17340373902938
WADI AL SAFA 5,21241,25.075686150000003,55.351945167161745
HOR AL ANZ EAST,21218,25.2820822,55.34762334358837
BUSINESS BAY,21179,25.1888276,55.26502162117366
AL WUHEIDA,20785,25.2910729,55.336847847931324
DUBAI SPORTS CITY,20611,25.0368891,55.21735371414104
BURJ KHALIFA,20477,25.197030599999998,55.274221681616936
JUMEIRA 1,20356,25.233175,55.2773708
AL QUOZ 1,20154,25.169145399999998,55.25297535069631
AYAL NASIR,19280,25.2753073,55.3031201
AL GARHOUD,18535,25.23983135,55.35566829285183
ARABIAN RANCHES,18213,25.049330050000002,55.26583861482074
ME'AISEM 1,18002,24.9992685,55.1889691
ABU HAIL,17240,25.28594185,55.32944354478134
AL MEZHAR 1,16552,25.2407813,55.4562961
TRADE CENTER 1,16519,25.2280119,55.2897019
AL RAS,15899,25.2688852,55.2960747
AL BARSHA 2,15523,25.1008572,55.21627706336069
DUBAI MARITIME CITY,15172,25.2548579,55.2756623
AL MAMZER,14938,25.3128572,55.3408633
OUD METHA,14901,25.23961115,55.31193260312626
AL WARQAA 3,14728,25.191656950000002,55.41901924779812
OUD AL MUTEENA 1,14672,25.2644223,55.4457203285468
AL BARSHAA 3,14601,25.1110306,55.1910537
SAIH SHUAIB 2,14491,24.8949361,54.9384931
NADD AL HAMAR,14216,25.20134935,55.38472391422977
AL HUDAIBA,14191,25.2400505,55.27745853149375
HATTA,14045,24.799096,56.114941
AL BARSHA SOUTH 1,13717,25.084663399999997,55.233350431388004
WARSAN 3,13579,25.142358,55.450321500635596
PORT SAEED,13551,25.246646900000002,55.33387075400082
AL WARQAA 4 ,13452,25.187119799999998,55.43736387153433
JUMEIRA 3,13417,25.233175,55.2773708
AL KHAWANEEJ ONE,12893,25.2260626,55.5066203
AL QUSAIS 2,12473,25.2695516,55.38725213649983
UMM SUQEIM 2,12325,25.1520346,55.206110536400004
TRADE CENTER 2,12218,25.2280119,55.2897019
UMM SUQUEIM 1,11718,25.1647673,55.21613773833831
AL WASL,11555,25.19889775,55.25704939243696
AL TWAR 1,11509,25.2709659,55.36278721721719
AL MEZHAR 2,11317,25.2407813,55.4562961
SAIH SHUAIB 4,11170,24.8949361,54.9384931
SAIH SHUAIB 3,11144,24.8949361,54.9384931
AL WARQAA  2,10689,25.200974950000003,55.408047909413504
AL TWAR 3,10655,25.251084300000002,55.39626632183177
MOTOR CITY,10598,25.043575949999997,55.23772275716508
WADI AL SAFA 2,10519,25.1595482,55.22487268088459
AL RIGGA,10480,25.267316049999998,55.31226821381125
JUMEIRA 2,10079,25.233175,55.2773708
LIVING LEGENDS,9764,25.0850789,55.2981217
REMRAAM,9748,25.0022005,55.248798836156226
WARSAN 4,8994,25.1603813,55.4252846
AL SAFA 1,8514,25.17677305,55.239137550069785
WADI AL SAFA 7,8473,25.04257145,55.28679537376658
AL MANARA,8271,25.14371155,55.21357382440539
ZAABEEL 2,8102,25.133881449999997,55.385946511667115
MUHAISANAH 1,8091,25.2805548,55.4105021
UMM SUQEIM 3,7520,25.13845885,55.19645756891408
AL BARSHA SOUTH 2,7509,25.06992845,55.226623851113
AL BARSHA SOUTH 5,7384,25.1117235,55.2064271
AL QUSAIS 3,7162,25.2619524,55.39956747649881
RIGGAT AL BUTEEN,7120,25.26305655,55.3205840389995
